algo:<class 'surprise.prediction_algorithms.matrix_factorization.SVD'>bi:<class 'numpy.ndarray'>
[-5.25770612e-01 -2.78561255e-01 -3.60002658e-01  1.71292448e-01
 -3.10058065e-01  8.90063691e-01 -4.33210926e-01 -4.84963603e-02
 -8.76409005e-01 -3.03748004e-01 -5.25359040e-01 -6.03750097e-01
 -3.27012882e-01  4.75178866e-01 -7.06461457e-01 -3.57668962e-01
 -1.11479686e+00 -1.44343510e+00 -3.81086511e-01 -9.29491488e-01
 -4.07511996e-01 -7.92705927e-01 -5.20886640e-01 -2.76719536e-01
 -2.47968703e-01  1.76756803e-01 -1.07707484e-01 -1.82363914e-01
 -3.32004281e-01 -4.66741141e-02 -5.94605534e-01 -3.30462052e-01
 -4.12389551e-01 -4.32438532e-01 -7.80129406e-01 -4.92356802e-01
 -1.71711727e-01 -7.77243716e-01 -8.28793016e-01 -4.08535708e-02
 -4.10973188e-01 -1.53520885e-01 -3.56745277e-01  1.42284945e-01
  5.10247070e-01 -3.96743457e-01 -1.43642334e-01 -1.29750157e+00
 -8.64653156e-01 -4.00493911e-02 -1.78723781e-01 -1.81294874e-01
 -7.74741602e-01 -1.77144328e-01 -1.04074540e+00 -5.06774796e-01
 -6.80662488e-01  2.24382653e-02  6.57428894e-01 -4.80358728e-02
 -4.01251401e-01 -3.55723973e-01 -5.21661979e-01 -6.93664160e-01
 -1.27564656e-01 -3.98353326e-01 -4.13477970e-01  1.07000049e-01
 -6.68057082e-01 -6.08710542e-01 -2.60370417e-01 -5.19581930e-01
 -5.91987148e-01 -1.01472767e+00  3.95894369e-01 -1.71622349e-01
 -1.48462614e-01 -2.58811634e-01 -4.95285081e-01 -4.19500979e-01
 -4.16139566e-01 -3.68214072e-01  1.84844744e-01 -5.02042344e-01
 -9.48326354e-02 -6.30953545e-01 -5.85138126e-01  2.10327805e-01
 -6.90062093e-01 -4.99743945e-01 -6.00485278e-01 -1.19961968e-01
 -6.99726997e-02  7.54002065e-02 -1.08962116e+00 -1.16373771e+00
 -5.98363640e-01 -9.10284612e-02 -4.43973332e-01 -1.75016591e-01
  2.45047227e-01 -7.31354973e-01 -1.18638017e+00 -7.15149113e-01
  3.92737605e-02 -5.02509334e-01 -6.68697831e-01 -9.98475070e-01
 -4.80234890e-01 -2.63927878e-01  1.67339911e-03 -7.72701287e-01
 -1.11446074e+00 -1.26456218e+00 -4.46194138e-01 -1.83558133e-01
  4.39041112e-01 -8.09478991e-01 -2.82111785e-01 -2.74499191e-01
 -5.80785516e-01 -7.98437788e-01 -5.80830214e-01 -9.65169212e-01
 -1.64120858e-01 -4.75782382e-01 -2.56700652e-01 -8.03560398e-01
 -5.58526372e-01  4.19064182e-01 -2.02691618e-01 -6.30898256e-01
  3.13758924e-01 -1.23370385e+00 -4.53872952e-01 -3.42379934e-01
 -7.37232505e-01  3.52692970e-02 -7.94974604e-01 -6.19724871e-01
 -5.15839905e-01  5.26321476e-01 -5.79276392e-01 -9.73583783e-01
 -3.99418186e-01 -1.02847537e+00  5.98779497e-01 -7.70867570e-01
 -1.41361632e-01 -5.94457946e-01 -4.62644575e-01 -4.90887979e-01
 -3.54034430e-01 -3.58303493e-01  6.68189513e-01  1.55837827e-01
 -4.48991569e-01 -5.54963661e-01 -8.71495986e-01  3.74077230e-01
 -2.77789329e-01 -5.67027793e-01 -2.11465513e-01 -1.67331053e-01
 -1.01373219e+00 -1.36739671e-01 -2.90788973e-01  4.26151555e-02
 -1.13706412e-01  4.83141112e-01 -9.43071566e-01 -3.77017860e-01
 -2.19356436e-01 -6.64865013e-01  4.16208969e-01 -1.01204935e-01
  5.37006495e-01 -3.54066200e-01 -6.70350155e-01 -2.27246403e-01
 -6.65883503e-01 -3.04353442e-01 -1.23634029e-01 -7.79915289e-01
 -3.66206605e-01 -3.84111271e-01  9.58807391e-02 -2.72813055e-01
 -7.68018360e-01  6.17460455e-01 -5.56311539e-01  2.20545462e-01
 -7.40468899e-01 -7.05617977e-01 -7.60545456e-01 -2.24319193e-01
  1.99207747e-01 -6.57788483e-01 -4.63413935e-02 -1.00547756e+00
 -6.03038280e-01  2.30729894e-01 -1.10760455e+00 -7.81040734e-01
  9.64029238e-02 -6.94137706e-01 -2.52647131e-01 -5.79998904e-01
 -2.04928858e-01 -2.74327044e-01 -4.01887493e-01 -8.37644982e-02
 -5.85779945e-04  7.23627557e-02  3.63661193e-01 -1.58321955e-01
 -2.92859923e-03 -4.73153486e-02 -1.98840758e-01 -3.63875390e-01
 -2.27507929e-02 -2.96089781e-01 -2.85162429e-01 -5.40971044e-01
 -5.57966696e-01 -2.66110264e-01 -6.24932021e-01 -3.21409589e-01
 -6.43012020e-03 -7.47407078e-01 -5.02073568e-01 -9.91048323e-02
 -5.30858332e-01 -1.20211737e-02  2.78187496e-02 -4.45808200e-01
 -5.53242240e-01 -3.85736506e-01 -6.51497482e-01 -5.67580506e-02
 -7.73260945e-02 -9.39558253e-02  2.80093103e-01  6.58419619e-03
 -1.95227243e-01 -1.14771789e+00  8.09664631e-02 -2.79146540e-01
  4.77246663e-01 -5.71806911e-01 -8.98979322e-02 -1.06701597e-01
 -7.32544349e-01  8.82313765e-01  6.03607091e-01  2.86617035e-01
 -4.46620357e-01 -3.26471323e-01 -7.60798491e-01 -1.06365034e-01
 -8.06107731e-01  2.11482895e-01 -4.64468505e-01 -1.34303287e-01
 -4.11113652e-01 -4.02448006e-01 -7.62428097e-02 -4.12886460e-01
 -1.83840566e-01 -8.34028089e-01 -3.55469116e-01 -5.72833874e-01
 -5.49660219e-01 -6.81049820e-01 -8.86961682e-01 -1.02777625e+00
 -8.25019069e-01 -6.89179388e-01 -2.78565698e-01 -2.85588375e-01
 -3.56106123e-01 -1.01142569e+00 -5.65090548e-02 -8.62070073e-01
 -4.22734513e-01 -5.99775852e-01 -5.78934424e-01 -4.82210406e-01
 -2.24291826e-01 -1.15716293e+00 -1.01482161e+00 -5.09200100e-01
  4.91033382e-01  3.03989144e-01  3.02225343e-01  3.15258536e-01
 -3.12195846e-01  1.59614561e-01  3.79968825e-01  4.33647687e-01
 -2.42613866e-02  1.15732357e-01 -1.06982644e-01  4.72961618e-01
  5.39791912e-02  3.38938916e-01  9.70881557e-02  6.45803127e-01
  3.43912725e-01  9.41668354e-02  3.61447650e-02  9.95445534e-02
 -5.16896271e-01 -1.47854988e-01  4.90847909e-01  2.41619873e-01
 -1.14478544e-01  3.78777448e-01  5.22392775e-01  4.15698571e-01
 -6.79011754e-01  2.19752858e-01 -3.87487269e-01  6.46579326e-02
 -4.30596790e-01  3.10287167e-01  2.97702196e-02 -2.57287541e-01
  6.07099963e-02 -4.61920950e-03  1.93131967e-02 -1.99035945e-01
  1.43282409e-01 -1.81737574e-01  1.13859954e-01 -7.10499319e-02
 -7.14385447e-01 -1.66269606e-01 -2.77568644e-01 -2.03214810e-02
  1.49153869e-03 -3.50186576e-02 -9.13792782e-02 -3.22622952e-01
 -1.15538786e-01  2.19371158e-01 -3.63309932e-02  1.13180262e-01
  2.71635303e-01 -6.84394713e-02 -4.33672970e-02 -7.07283394e-02
 -8.79816969e-01 -7.70945147e-01 -6.31732367e-01 -6.63546795e-02
 -3.74398994e-01 -1.32033667e-02 -4.18610884e-01 -1.04997858e+00
  1.75958065e-01 -2.79733912e-01 -3.80182344e-02 -1.10250620e-01
  3.62271126e-01 -3.42388056e-01 -2.46780827e-01  2.32118421e-01
 -1.30317316e-01 -2.24583426e-01 -1.73642443e-01 -4.06123946e-01
 -4.64072797e-02 -3.29878061e-01 -2.25537173e-01 -6.60568619e-01
 -1.87110714e-01 -4.29715116e-01  9.04879607e-02 -5.06280062e-01
 -4.37694143e-01 -1.70408427e-01 -1.99308356e-01  5.31019463e-02
  1.83965084e-01 -2.92579802e-01 -1.11087608e-01 -7.50943394e-01
 -2.59021233e-01  1.84099898e-01  4.06436920e-02 -6.80455963e-01
 -1.11674758e-01 -7.08918552e-02 -4.90495356e-01 -1.33415899e-01
 -2.41831129e-01 -2.57587728e-01 -4.94583835e-01 -1.20189197e-01
 -2.05188829e-01 -5.11667279e-01 -3.44022333e-01 -1.74979431e-01
 -5.88431350e-01 -6.64771530e-01 -5.11410666e-01 -3.43009817e-01
 -4.93888225e-01  3.22195208e-01 -5.03473282e-01 -7.07440716e-01
 -3.79852695e-01 -8.04241143e-02 -7.19904174e-02 -4.09240129e-01
 -8.13313632e-01 -6.92844302e-02  5.91266786e-02 -5.37998355e-01
 -3.63785111e-02 -5.75907878e-01 -3.17425532e-01  3.92125478e-02
 -2.11523179e-01 -7.83020654e-01 -5.00386793e-01 -1.25250342e-01
 -3.46163409e-01 -1.49634797e-01  2.25304542e-01  5.08563975e-01
 -8.40439730e-01 -4.27356580e-01 -9.30213552e-01 -4.70283969e-01
  2.26356759e-01 -1.05068861e-01 -6.77127142e-01 -4.61154703e-01
 -7.01075136e-01 -3.31308704e-01  4.78087146e-01 -1.06664565e-01
 -3.16706604e-01 -1.51217563e-01 -2.42847605e-01  2.86288288e-02
 -3.51016907e-01 -4.30807255e-01 -4.22799909e-01 -6.04122977e-01
 -3.57512227e-01 -2.01506221e-01 -2.08388846e-02  3.63078874e-01
  3.12815607e-01 -1.01473408e+00 -2.61420501e-01 -7.40267616e-01
 -6.15436355e-01 -2.84944135e-01 -3.95798273e-01 -1.76189851e-01
 -2.72282807e-01 -6.88480300e-03 -5.34554263e-01  2.59465057e-01
 -3.25240778e-01 -8.99174678e-02 -2.09381166e-01  2.37207881e-02
  1.14078792e-02  3.07063480e-01  3.33386322e-01 -2.76871841e-01
 -1.80580405e-01 -4.17794985e-01  8.56047030e-02 -1.99906866e-01
  1.94365212e-01  1.96396574e-01 -3.44718306e-01  4.72737125e-01
  1.38744351e-01 -4.11872979e-01 -5.36576450e-02 -3.83752513e-01
  8.55856608e-02 -1.02259627e-02  1.46375902e-01  4.80375013e-01
  2.88029299e-02 -4.53155039e-03 -5.77123799e-01  3.39985532e-02
 -8.19984034e-01 -2.72714479e-02  1.74007732e-01 -1.30455531e+00
 -8.21341999e-01 -1.13094543e+00 -7.77675413e-01 -1.36925322e+00
 -4.35539494e-02  3.05925090e-02 -7.42626605e-01 -5.51764866e-01
 -4.75872451e-01 -7.79252108e-01 -3.05977127e-01 -3.36287509e-01
 -6.52917132e-01 -2.24603205e-01 -1.32692304e-01 -5.44920283e-01
 -4.46347495e-01 -1.04265254e+00 -1.34132189e-01 -8.33223445e-02
 -1.13177215e+00  3.23484060e-02 -7.93949686e-01 -4.08363534e-01
 -5.22195764e-01  1.95339198e-01  2.29682500e-01  1.35998026e-01
 -1.11020396e+00 -6.54972154e-01  6.55334913e-01 -7.11393969e-01
  6.24457282e-02 -5.81718461e-01 -3.38024983e-01 -1.96268218e-01
 -7.99966000e-01 -1.11086328e+00 -4.85241112e-01 -1.84891053e-01
 -1.22727742e-01 -1.35982770e-01  3.92536950e-01  1.08252926e-01
 -1.52860391e-01 -3.02105408e-01 -1.05669048e-01 -3.84246069e-01
 -6.55837015e-01 -1.62355996e-01 -1.48710145e-01 -9.47367764e-01
 -4.05572936e-01 -4.59333706e-01 -1.34487621e-01 -1.29129811e-01
 -3.81218683e-01 -5.64226031e-01 -6.41192909e-01 -8.26159307e-03
 -2.96017021e-01 -1.67585127e-01 -1.52266008e+00 -6.24993175e-01
 -7.95740736e-01  9.48479882e-03  3.40988024e-01 -6.66692295e-01
 -7.44970644e-01  3.05960783e-01 -2.00901285e-01 -2.72893881e-03
 -1.56207969e-01 -2.65389538e-02 -2.45954744e-01 -4.19040739e-01
 -2.75194374e-01  1.09466038e-01 -1.16900446e-01 -4.83112324e-02
 -2.87295742e-01 -5.69135643e-01  1.10835947e-01  8.67615714e-02
 -4.09331504e-01 -6.32105171e-01 -1.85445959e-01  7.04124631e-01
 -4.23174532e-01 -3.71789023e-01  7.61156621e-01  6.36799391e-01
  7.78472409e-01  2.54035678e-01  4.49689101e-01  3.72980589e-01
 -1.29666264e-01  4.73391029e-01  4.29468656e-01 -5.25737750e-01
  4.95462557e-01  4.53333822e-01  3.70904718e-01  1.98453454e-01
  7.22817955e-01  1.08994245e-01  3.60100701e-01  4.79309420e-01
  5.22157229e-01  2.70533927e-03 -4.96557934e-01  2.97140386e-01
  2.13145620e-01  4.77187272e-01  2.36861578e-01  6.48152201e-01
  3.35689800e-01  3.00916986e-01  1.18806979e-01  4.42258258e-01
 -1.91887236e-01 -1.62817343e-02  2.75974385e-01 -8.96303366e-02
  2.56243200e-01  1.49278190e-01 -6.29181066e-02  4.60045776e-01
  4.42073496e-01  1.77813187e-01  2.02313106e-02  3.20474322e-03
 -7.72470748e-02 -5.01021714e-01  4.98123786e-01 -4.35293509e-02
  2.85908195e-01  1.02674743e-01  2.40842722e-01  1.57813854e-01
  2.90725858e-01  4.43690348e-01  1.62253401e-01  5.25830075e-02
  3.37241707e-01 -6.17076410e-02  3.43912775e-01  1.48720440e-01
 -2.43106466e-01 -4.47032429e-01  2.80711315e-01  4.37798058e-02
  3.94733281e-01  4.23692083e-01  3.17775301e-01  9.48441933e-02
  4.11150906e-01  3.01214803e-01  7.43368538e-02  3.70300115e-01
  2.90656067e-01  3.14738879e-01 -2.90791330e-01  2.78053962e-01
  5.56055221e-01 -4.46044026e-02  2.70829957e-01  8.20226663e-03
 -1.22072905e-01 -1.03535748e-01  2.58858356e-01  2.41165912e-02
  3.08916995e-01 -1.90731278e-01  8.96452397e-02 -1.86181546e-01
  3.48009430e-03  2.26012642e-01  3.30983242e-01  1.18951878e-01
 -1.07719440e-01  1.15360245e-01  3.17911627e-01 -5.67814314e-02
 -3.23929122e-01  5.19455816e-01  4.59343782e-02  2.52001507e-01
 -1.04117037e+00 -2.14860247e-01  1.54272053e-01  1.80138032e-02
 -5.87514396e-03  2.74452599e-01  9.62733808e-02 -5.72818676e-02
  5.30480142e-02  1.63318069e-01  2.80108506e-01 -1.25158246e-01
 -2.94262145e-01  3.36887686e-01  5.35385686e-02 -5.52820258e-01
 -3.33084459e-01 -3.92507436e-01 -1.10087147e+00 -3.93314322e-01
 -2.58888868e-01 -5.56441084e-01 -3.86640309e-01 -5.05000742e-02
 -3.17544129e-01 -3.10262602e-01  1.71169927e-01 -7.19525646e-01
 -1.55055255e+00 -1.76760740e-01 -6.23603471e-01 -8.95644087e-01
 -6.32901533e-01 -7.55817273e-01 -9.67417324e-04 -8.35878116e-01
 -7.48063941e-01 -9.24718809e-01  3.88917756e-02 -6.95885172e-01
  3.10393779e-01 -1.07588265e+00 -6.26746549e-01 -7.91329345e-01
 -1.89336720e-01 -5.56617017e-01 -4.62539809e-01 -7.97760334e-01
 -1.23800083e-01 -1.30754476e-01 -3.55230424e-01 -7.10839787e-01
 -2.33662296e-01  2.02700180e-02  1.16103156e-01 -2.04551867e-01
 -1.96688858e-01 -6.79575393e-01 -6.38155965e-01 -1.10941558e-02
 -6.33422945e-01  1.82780348e-01  1.31907079e-01  2.92051474e-01
 -1.13563587e+00  3.28810931e-02  2.38557453e-01 -6.41191639e-01
 -1.18944336e+00 -9.94470884e-02 -3.38156390e-01 -3.64138689e-01
  7.14172560e-02  7.26113260e-02 -1.39409903e-01  2.32697661e-01
 -2.18732946e-01 -9.44988278e-01  1.77514715e-01 -4.48236874e-01
  4.00402767e-02 -2.96585853e-01 -2.07894184e-01 -4.08865989e-01
 -1.95674943e-01  1.01058015e-01 -1.05543835e+00 -2.83013826e-01
 -9.86825219e-01 -2.95554248e-01  3.08160780e-01 -1.08534458e+00
 -7.62934623e-01 -5.84669227e-01 -5.16818688e-01 -2.81306150e-01
  2.60868890e-01  1.63389665e-01 -5.37129314e-01  5.25181955e-02
 -6.58648357e-01 -1.30912202e-01  3.42697875e-02 -6.33219333e-01
 -4.73668633e-01 -2.23947126e-01 -6.79304664e-02  2.40253249e-03
 -3.13174931e-01 -2.80768581e-01  6.08727398e-02  1.53281805e-01
 -6.36435441e-01 -8.77118488e-04 -3.78563164e-02 -1.79232013e-01
 -2.72394033e-01 -1.78234635e-01 -4.90913339e-01 -3.80728890e-01
 -1.38328809e-01  3.26416067e-01 -2.16293250e-01 -5.18842209e-01
 -5.84174702e-01 -5.47505214e-01 -5.10492867e-01 -5.81004156e-01
 -4.00788433e-01 -2.94489274e-01 -9.01305018e-02 -4.92820647e-01
 -2.38620668e-01 -3.01870787e-01 -9.05197409e-01 -6.92610223e-01
 -4.75243520e-01 -5.89968967e-01 -4.15981699e-01 -2.70853865e-01
 -2.05539603e-01 -6.71945660e-01 -8.99953525e-01 -8.01240562e-01
 -2.49638120e-01 -2.87665027e-01  7.26515117e-02 -3.77308841e-01
 -2.18970988e-01  1.23975154e-01 -5.52682777e-01 -2.27761496e-01
  1.41532820e-01 -2.50706484e-01 -2.07539319e-02 -5.48239816e-02
 -1.04969554e+00 -5.01810429e-01 -3.45053879e-01 -3.06212135e-01
 -5.90362368e-01 -7.99657040e-01 -2.98530464e-01 -9.32431001e-01
 -9.85008249e-01 -8.27571981e-02 -7.23534831e-01 -5.17110194e-01
 -5.00995180e-01  1.83097755e-01 -4.04716547e-01 -8.07626332e-01
  1.60222104e-01 -3.65375530e-01 -3.98925391e-01 -4.14005597e-01
 -4.83873824e-01 -1.19499580e+00 -8.45147273e-01 -2.99041630e-01
 -8.75799277e-01  3.45672024e-01 -1.21386994e-01 -4.73677751e-01
 -4.46825073e-01 -4.97839488e-01 -9.32121236e-01 -2.48156059e-01
 -2.65224036e-01 -7.03351474e-01 -7.80288294e-01 -5.28210037e-01
 -7.84616197e-01 -1.81078384e-01 -5.18287154e-01 -6.76575140e-02
 -1.00618758e+00 -7.75329554e-01 -1.75459969e+00 -4.18123697e-01
 -1.32919491e+00 -4.04806904e-01 -1.36220017e+00  7.91544338e-02
 -4.10040200e-01 -3.92762621e-01 -1.18761058e+00 -4.44136260e-01
 -1.22345487e+00 -6.83035182e-02 -4.89661633e-01 -4.23973412e-01
 -5.99795530e-01 -5.85308140e-01 -5.08514487e-01 -5.07683490e-01
 -6.27150295e-01 -6.78448465e-01 -7.78022999e-01 -7.92347267e-01
 -6.38107621e-02 -3.41405476e-01 -7.29734024e-01 -4.39769808e-01
 -3.04012225e-01 -4.96179887e-01 -5.56607825e-01 -3.32229138e-01
 -9.80749315e-01 -8.86514455e-01  2.67803561e-01 -5.28018980e-01
  1.18058057e-01 -3.30091084e-01 -2.20992720e-01 -3.81642496e-01
 -9.26379883e-02 -2.99296771e-01 -3.41952240e-01  1.58238021e-01
 -7.85463819e-01 -3.86740748e-01 -1.42297313e-01 -5.85523639e-01
 -2.39844679e-01 -5.51730979e-01 -5.58957499e-01 -3.02117217e-01
 -1.03024423e+00 -2.32392174e-01 -7.10676597e-01 -9.96894288e-01
 -1.18219459e+00 -2.32963529e-01 -2.01614493e-01 -2.07577495e-01
 -3.70970276e-01 -1.55055158e+00 -4.18543254e-01 -7.64330156e-01
 -1.39398798e+00 -1.32107095e+00 -8.04670385e-01 -7.56801045e-01
 -9.85069938e-01 -5.10813654e-01 -1.11957031e+00 -3.23410707e-01
 -3.75128432e-01 -7.30976236e-01  8.95530189e-02 -3.35121232e-01
 -1.46839065e-01 -5.49181137e-01 -2.15199669e-01 -2.05826368e-01
 -1.40878751e-01 -3.64488970e-01 -3.11215643e-01  2.83184136e-01
 -1.19871155e-01  6.73972378e-02  4.42770778e-02  1.42888435e-01
 -3.53179256e-01 -4.82176045e-01 -5.23336476e-01 -8.16660236e-01
 -5.15063974e-01 -1.00844908e+00 -4.71777642e-01 -8.36299334e-01
 -8.92122964e-01 -2.67292428e-01 -1.09742620e+00 -6.56888372e-01
 -3.20597785e-01 -5.19956813e-01 -4.99273112e-01 -6.57284950e-01
 -5.73611487e-01 -2.25985315e-01]
biased:<class 'bool'>
True
bsl_options:<class 'dict'>
{}
bu:<class 'numpy.ndarray'>
[ 0.19093086  0.4610414  -0.33834698 ... -0.39724757  0.02242547
 -0.59192485]
init_mean:<class 'int'>
0
init_std_dev:<class 'float'>
0.1
lr_bi:<class 'float'>
0.007
lr_bu:<class 'float'>
0.007
lr_pu:<class 'float'>
0.007
lr_qi:<class 'float'>
0.007
n_epochs:<class 'int'>
50
n_factors:<class 'int'>
25
pu:<class 'numpy.ndarray'>
[[-0.18280979 -0.07282477 -0.28232521 ... -0.14499401  0.11981711
  -0.32990258]
 [ 0.04624111  0.31913111  0.06242201 ... -0.07995855 -0.16050105
  -0.21588571]
 [-0.25324162  0.10801508  0.32774739 ...  0.25055338 -0.06196693
   0.01999858]
 ...
 [ 0.00456967  0.20003412  0.04188229 ... -0.11729028 -0.22575438
  -0.20908516]
 [ 0.17980748 -0.24793082 -0.07173477 ...  0.00491242  0.13465535
  -0.12458963]
 [ 0.12051931 -0.13070552  0.04707657 ...  0.11938052  0.21968901
  -0.13106786]]
qi:<class 'numpy.ndarray'>
[[-0.01338198 -0.05834365  0.04106796 ... -0.06359853 -0.12311638
   0.16709563]
 [ 0.21133772  0.0592008  -0.46615947 ...  0.02144975 -0.2206354
   0.05279339]
 [-0.02217987 -0.04596279 -0.07937747 ...  0.26358721  0.33610883
  -0.57318323]
 ...
 [ 0.49108379  0.34000674 -0.00754348 ...  0.11294299  0.20286993
   0.65357034]
 [ 0.11924766  0.14608902  0.10825116 ...  0.22062455  0.13250658
   0.09441566]
 [-0.138516   -0.00608679  0.12550599 ... -0.48245117  0.17222272
